ID,RA,Decl,I,V,P_1
OGLE-SMC-CEP-0001,00:20:07.87,-74:32:54.6,17.314,17.897000000000002,1.1282584
OGLE-SMC-CEP-0005,00:21:53.88,-72:22:22.7,17.195999999999998,17.768,1.2874115
OGLE-SMC-CEP-0006,00:21:56.36,-73:54:55.9,17.12,17.77,1.4847727
OGLE-SMC-CEP-0007,00:22:04.27,-73:26:55.2,17.124000000000002,-99.99,1.3341988999999999
OGLE-SMC-CEP-0009,00:22:25.60,-73:47:03.5,16.814,17.384,1.6392327000000002
OGLE-SMC-CEP-0010,00:22:29.29,-73:54:16.3,16.976,17.515,1.442611
OGLE-SMC-CEP-0011,00:22:30.54,-73:07:35.4,16.945999999999998,17.592,1.3935063
OGLE-SMC-CEP-0013,00:22:40.44,-73:31:00.6,15.975999999999999,16.63,2.9238729
OGLE-SMC-CEP-0014,00:22:49.05,-73:50:25.5,15.491,16.201,4.416525900000001
OGLE-SMC-CEP-0015,00:22:49.15,-74:13:23.1,16.656,17.312,1.8279108
OGLE-SMC-CEP-0016,00:22:57.88,-73:37:46.7,15.335,15.960999999999999,4.8298084
OGLE-SMC-CEP-0019,00:23:09.99,-73:31:26.2,15.694,16.292,3.1148307
OGLE-SMC-CEP-0023,00:23:40.14,-73:23:56.8,17.398,18.055999999999997,1.2951188
OGLE-SMC-CEP-0024,00:23:40.99,-73:45:50.3,17.215999999999998,17.789,1.2256194
OGLE-SMC-CEP-0026,00:23:43.98,-73:22:56.4,16.855,17.344,1.3036176000000002
OGLE-SMC-CEP-0028,00:24:01.15,-73:35:52.6,17.301,17.848,1.0925618000000001
OGLE-SMC-CEP-0029,00:24:07.20,-73:56:26.3,14.92,15.672,6.6913506
OGLE-SMC-CEP-0031,00:24:07.84,-73:54:45.5,16.942,17.562,1.5269121
OGLE-SMC-CEP-0032,00:24:10.46,-73:26:31.6,16.785,-99.99,1.5432891000000002
OGLE-SMC-CEP-0035,00:24:20.31,-73:55:27.3,17.230999999999998,17.875,1.3378187
OGLE-SMC-CEP-0037,00:24:23.20,-74:03:54.6,17.053,17.687,1.5918392
OGLE-SMC-CEP-0038,00:24:33.83,-73:02:24.0,16.937,17.597,1.4737791
OGLE-SMC-CEP-0039,00:24:34.57,-73:18:27.4,15.915999999999999,16.55,2.8601644
OGLE-SMC-CEP-0040,00:24:54.70,-73:59:38.2,15.952,16.68,3.3838318
OGLE-SMC-CEP-0041,00:24:59.29,-73:21:35.1,15.341,16.033,4.6739541
OGLE-SMC-CEP-0042,00:25:07.78,-73:19:13.0,17.12,17.649,1.2258176
OGLE-SMC-CEP-0043,00:25:11.86,-73:39:31.8,17.493,18.092,1.0317372
OGLE-SMC-CEP-0046,00:25:16.88,-74:07:57.5,16.583,17.22,1.910971
OGLE-SMC-CEP-0048,00:25:17.22,-74:03:57.1,16.901,17.473,1.3904256000000002
OGLE-SMC-CEP-0049,00:25:20.54,-73:35:39.6,16.683,17.333,1.9378933999999997
OGLE-SMC-CEP-0053,00:25:27.62,-73:48:31.9,17.273,17.795,1.1450995000000002
OGLE-SMC-CEP-0054,00:25:27.84,-73:32:18.6,17.052,17.647000000000002,1.4279698
OGLE-SMC-CEP-0060,00:25:57.48,-74:14:41.6,15.877,16.57,3.2138986000000003
OGLE-SMC-CEP-0061,00:26:02.14,-73:55:27.0,16.848,17.485,1.8351107
OGLE-SMC-CEP-0062,00:26:06.13,-73:53:59.2,16.42,17.123,2.3832373
OGLE-SMC-CEP-0067,00:26:11.48,-73:37:30.4,15.37,16.011,4.659463400000001
OGLE-SMC-CEP-0069,00:26:18.67,-73:32:26.2,17.04,17.589000000000002,1.4714919
OGLE-SMC-CEP-0071,00:26:33.56,-74:20:52.4,17.264,17.836,1.3424824
OGLE-SMC-CEP-0072,00:26:43.62,-73:32:36.1,17.084,17.58,1.3247768
OGLE-SMC-CEP-0073,00:26:44.21,-72:46:35.2,17.252,17.820999999999998,1.0678978000000001
OGLE-SMC-CEP-0074,00:26:46.58,-73:06:41.1,16.643,17.339000000000002,1.9208993000000003
OGLE-SMC-CEP-0077,00:27:22.59,-73:31:24.0,17.381,17.988,1.1858528
OGLE-SMC-CEP-0078,00:27:24.57,-73:15:56.0,15.355,16.043,4.667720200000001
OGLE-SMC-CEP-0082,00:27:36.64,-73:45:41.2,15.324000000000002,16.092,5.267144
OGLE-SMC-CEP-0083,00:27:44.47,-74:04:55.3,16.203,16.734,2.6531081000000003
OGLE-SMC-CEP-0084,00:28:01.33,-74:04:53.1,17.195,17.87,1.3749662
OGLE-SMC-CEP-0085,00:28:01.68,-73:24:35.4,16.529,17.201,2.2094267999999997
OGLE-SMC-CEP-0087,00:28:14.34,-73:51:56.2,16.934,17.547,1.3845973999999999
OGLE-SMC-CEP-0089,00:28:19.49,-73:55:32.6,17.549,18.186,1.0868823
OGLE-SMC-CEP-0090,00:28:24.70,-72:28:37.0,15.953,16.541,2.5754313
OGLE-SMC-CEP-0092,00:28:27.21,-70:51:07.9,16.986,17.551,0.9788701999999999
OGLE-SMC-CEP-0095,00:28:30.25,-74:23:02.7,17.49,18.118,1.0554266
OGLE-SMC-CEP-0096,00:28:38.94,-74:07:29.9,17.183,17.820999999999998,1.3126396999999999
OGLE-SMC-CEP-0097,00:28:40.58,-73:36:00.3,16.729,17.367,1.7632717
OGLE-SMC-CEP-0103,00:29:08.88,-72:53:09.8,15.264000000000001,16.027,4.3041835
OGLE-SMC-CEP-0104,00:29:17.97,-74:19:44.4,16.768,17.410999999999998,1.8393365000000002
OGLE-SMC-CEP-0105,00:29:19.65,-74:03:01.3,16.589000000000002,17.273,1.9968023999999998
OGLE-SMC-CEP-0110,00:29:23.76,-73:57:03.2,16.924,17.564,1.7066324000000002
OGLE-SMC-CEP-0113,00:29:34.97,-73:43:16.6,16.586,17.211,1.8699797999999999
OGLE-SMC-CEP-0116,00:29:44.75,-73:46:14.8,17.133,17.777,1.1369253000000001
OGLE-SMC-CEP-0117,00:29:45.95,-73:57:24.3,14.238,15.034,10.565696899999999
OGLE-SMC-CEP-0118,00:29:49.19,-74:05:30.2,16.006,16.607,2.7119408
OGLE-SMC-CEP-0120,00:29:57.17,-74:00:53.1,17.729,18.25,0.9546851000000001
OGLE-SMC-CEP-0121,00:30:08.98,-73:24:11.8,17.24,17.847,1.2230923999999999
OGLE-SMC-CEP-0122,00:30:11.91,-73:44:07.0,17.301,17.823,1.1576001
OGLE-SMC-CEP-0123,00:30:16.22,-73:25:11.5,16.453,16.897000000000002,1.6000006000000002
OGLE-SMC-CEP-0126,00:30:27.61,-73:27:26.2,17.211,17.683,1.3659716
OGLE-SMC-CEP-0127,00:30:34.90,-72:59:09.9,17.015,17.590999999999998,1.2940584
OGLE-SMC-CEP-0129,00:30:44.32,-73:28:10.3,16.315,16.994,2.4424932
OGLE-SMC-CEP-0131,00:30:45.26,-74:00:53.1,17.13,17.69,1.3882424999999998
